judge,dataset,group,variant,kind,n,signed_delta,ci_lo,ci_hi,mean_abs_delta
phyjudge_9b,test,SA,shuffle,temporal,450,-0.02,-0.06222222222222222,0.022277777777777476,0.21555555555555556
phyjudge_9b,test,SA,reverse,temporal,450,-0.022222222222222223,-0.07116666666666667,0.024444444444444446,0.27111111111111114
phyjudge_9b,test,SA,freeze,temporal,450,-0.011111111111111112,-0.04888888888888889,0.02666666666666667,0.1622222222222222
phyjudge_9b,test,SA,photometric,superficial,450,-0.008888888888888889,-0.044444444444444446,0.02666666666666667,0.14222222222222222
phyjudge_9b,test,SA,caption_echo_rubric_vocab,superficial,450,0.09555555555555556,0.04666666666666667,0.14444444444444443,0.2777777777777778
phyjudge_9b,test,SA,caption_echo_score_anchor_positive,superficial,450,0.0022222222222222222,-0.04,0.04666666666666667,0.2111111111111111
phyjudge_9b,test,SA,caption_echo_authoritative_claim,superficial,450,0.14666666666666667,0.10222222222222223,0.18894444444444414,0.24
phyjudge_9b,test,SA,caption_echo_score_anchor_negative,superficial,450,-0.4444444444444444,-0.5,-0.39111111111111113,0.4533333333333333
phyjudge_9b,test,SA,caption_echo_control_irrelevant,superficial,450,0.022222222222222223,-0.015555555555555555,0.057777777777777775,0.1688888888888889
phyjudge_9b,test,PTV,shuffle,temporal,450,-0.06888888888888889,-0.11777777777777777,-0.02,0.2866666666666667
phyjudge_9b,test,PTV,reverse,temporal,450,-0.03111111111111111,-0.08444444444444445,0.022222222222222223,0.3244444444444444
phyjudge_9b,test,PTV,freeze,temporal,450,-0.04888888888888889,-0.08888888888888889,-0.008888888888888889,0.19555555555555557
phyjudge_9b,test,PTV,photometric,superficial,450,0.006666666666666667,-0.03111111111111111,0.04666666666666667,0.18
phyjudge_9b,test,PTV,caption_echo_rubric_vocab,superficial,450,0.1622222222222222,0.1111111111111111,0.2133888888888886,0.32666666666666666
phyjudge_9b,test,PTV,caption_echo_score_anchor_positive,superficial,450,0.18,0.13555555555555557,0.22444444444444445,0.2511111111111111
phyjudge_9b,test,PTV,caption_echo_authoritative_claim,superficial,450,0.29777777777777775,0.2511111111111111,0.3444999999999997,0.3422222222222222
phyjudge_9b,test,PTV,caption_echo_score_anchor_negative,superficial,450,-0.42,-0.4711111111111111,-0.3688888888888889,0.42444444444444446
phyjudge_9b,test,PTV,caption_echo_control_irrelevant,superficial,450,0.08222222222222222,0.042222222222222223,0.12222222222222222,0.19777777777777777
